Name,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist,rating21
Koke Vegas,90.0,4.0,2.0,2.0,50.0,0.0,2.6,0.0,0.0,0.0,0.0,2.0,11.0,18.2,18.0,4.0,44.4,37.7,11.0,27.3,30.5,7.0,0.0,0.0,1.0,18.8,70.0
Lennart Grill,360.0,20.0,7.0,13.0,262.5,1.0,6.4,0.0,0.0,0.0,0.0,10.0,25.0,178.6,136.0,26.0,59.2,104.4,25.0,22.2,86.6,23.0,3.0,80.0,4.0,60.7,68.0
Lois Diony,1749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
Lorenzo Montipò,3330.0,170.0,74.0,104.0,2049.3,7.0,64.4,5.0,4.0,1.0,0.0,249.0,668.0,1394.3,964.0,172.0,1921.0,1513.5,272.0,2136.1,1634.0,375.0,36.0,344.7,21.0,518.3,72.0
Loris Karius,292.0,5.0,1.0,5.0,350.0,2.0,1.7,0.0,0.0,0.0,0.0,21.0,56.0,145.89999999999998,75.0,9.0,241.2,183.3,20.0,302.5,231.1,30.0,2.0,26.7,0.0,31.5,78.0
Luigi Sepe,3240.0,177.0,76.0,103.0,2004.5,5.0,60.8,2.0,2.0,0.0,0.0,351.0,637.0,2009.6,1175.0,180.0,1542.0,1361.9,270.0,1324.9,1261.7,416.0,25.0,195.2,11.0,429.3,77.0
Lukáš Hrádecký,2565.0,82.0,29.0,56.0,1644.2,8.0,26.7,2.0,1.0,1.0,0.0,209.0,503.0,1240.6,1215.0,180.0,1004.2,995.8,176.0,1081.8,997.3,209.0,21.0,253.8,31.0,476.1,83.0
Manuel Gasparini,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,100.0,48.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,57.0
Manuel Neuer,2970.0,126.0,42.0,83.0,2127.1,9.0,44.3,3.0,1.0,1.0,1.0,239.0,391.0,2158.8,1130.0,188.0,967.0,1039.7,186.0,688.7,937.1,228.0,6.0,73.4,42.0,527.1,89.0
Marc-André ter Stegen,2790.0,102.0,32.0,75.0,2095.0,11.0,28.8,3.0,3.0,0.0,0.0,138.0,241.0,1928.5,879.0,149.0,682.2,905.5,156.0,953.5,982.7,174.0,19.0,298.8,22.0,528.7,90.0
Marc-Aurèle Caillard,361.0,20.0,10.0,13.0,250.0,0.0,9.2,3.0,3.0,0.0,0.0,17.0,48.0,133.9,71.0,27.0,127.0,148.0,30.0,303.8,238.0,29.0,4.0,44.4,2.0,63.7,69.0
Marcin Bułka,90.0,3.0,1.0,2.0,66.7,0.0,1.3,0.0,0.0,0.0,0.0,2.0,5.0,40.0,28.0,9.0,17.9,25.5,2.0,0.0,21.5,7.0,0.0,0.0,2.0,13.1,64.0
Marco Festa,90.0,8.0,1.0,7.0,87.5,0.0,1.6,0.0,0.0,0.0,0.0,9.0,15.0,60.0,28.0,9.0,35.7,34.4,10.0,50.0,37.7,12.0,1.0,8.3,1.0,10.6,62.0
Marco Silvestri,3060.0,125.0,42.0,89.0,2193.5,7.0,37.8,7.0,6.0,0.0,1.0,212.0,746.0,987.7,727.0,79.0,2302.9,1583.1,275.0,3010.0,1981.2,288.0,10.0,116.4,13.0,430.0,77.0
Marco Sportiello,1261.0,48.0,21.0,28.0,715.9,2.0,16.0,2.0,1.0,1.0,0.0,49.0,109.0,691.1,319.0,69.0,368.1,453.2,56.0,919.4,730.6,88.0,7.0,100.9,15.0,249.0,76.0
Marek Rodák,180.0,8.0,5.0,4.0,106.7,0.0,4.0,1.0,1.0,0.0,0.0,7.0,14.0,100.0,39.0,7.0,52.7,59.6,7.0,75.0,68.7,16.0,2.0,28.6,1.0,30.3,74.0
Mark Flekken,270.0,16.0,6.0,12.0,207.8,0.0,7.4,3.0,2.0,0.0,1.0,31.0,64.0,150.7,98.0,9.0,127.7,123.3,27.0,238.9,194.4,32.0,1.0,8.3,1.0,34.8,75.0
Marko Dmitrović,3120.0,128.0,49.0,80.0,2192.8,9.0,46.8,5.0,3.0,1.0,1.0,304.0,786.0,1386.9,839.0,98.0,2386.3,1902.5,235.0,3130.8,2519.7,253.0,20.0,327.7,41.0,586.1,81.0
Martin Dúbravka,1170.0,59.0,19.0,42.0,860.0,3.0,19.6,1.0,1.0,0.0,0.0,79.0,186.0,561.8,306.0,64.0,513.3000000000001,485.2,121.0,775.0,633.4,161.0,13.0,91.6,6.0,157.3,83.0
Marwin Hitz,1395.0,42.0,16.0,27.0,995.8,7.0,15.7,2.0,2.0,0.0,0.0,94.0,181.0,866.8000000000001,427.0,69.0,463.1,516.5,123.0,725.2,621.8,92.0,7.0,157.8,7.0,236.5,78.0
Mathew Ryan,1260.0,39.0,21.0,24.0,662.5,3.0,19.0,5.0,5.0,0.0,0.0,63.0,152.0,604.4,399.0,75.0,416.1,440.8,67.0,567.9,498.8,123.0,11.0,131.7,7.0,201.5,80.0
Matthieu Dreyer,1350.0,51.0,25.0,33.0,1001.3,2.0,20.5,6.0,6.0,0.0,0.0,76.0,201.0,626.2,253.0,43.0,699.5,594.7,108.0,1104.1,740.5,111.0,7.0,98.6,6.0,189.2,67.0
Mattia Perin,2879.0,150.0,44.0,112.0,2180.7,8.0,46.8,7.0,7.0,0.0,0.0,233.0,624.0,1196.3,891.0,136.0,1745.2,1319.0,275.0,1510.8,1239.2,342.0,17.0,142.8,9.0,378.8,82.0
Matz Sels,540.0,25.0,13.0,14.0,261.2,0.0,10.0,2.0,2.0,0.0,0.0,47.0,111.0,280.0,125.0,23.0,340.3,262.0,50.0,432.2,326.1,54.0,6.0,70.19999999999999,1.0,68.3,79.0
Michael Langer,239.0,24.0,12.0,13.0,136.7,0.0,8.7,0.0,0.0,0.0,0.0,11.0,35.0,89.8,50.0,7.0,135.5,116.0,26.0,184.2,136.5,23.0,0.0,0.0,3.0,35.7,65.0
Mike Maignan,3420.0,107.0,23.0,86.0,2787.7,21.0,25.9,2.0,1.0,1.0,0.0,153.0,437.0,1474.7,832.0,191.0,1276.9,1318.1,238.0,2295.8,1936.1,286.0,23.0,305.9,26.0,582.7,82.0
Neto,630.0,21.0,6.0,16.0,541.7,3.0,6.7,2.0,2.0,0.0,0.0,22.0,47.0,424.5,186.0,36.0,140.4,191.2,53.0,93.0,148.2,64.0,4.0,36.7,4.0,107.7,82.0
Niccolò Manfredini,90.0,5.0,1.0,4.0,80.0,0.0,1.6,0.0,0.0,0.0,0.0,1.0,5.0,20.0,24.0,10.0,8.3,26.1,7.0,42.9,42.0,13.0,3.0,23.1,1.0,14.9,66.0
Nick Pope,2880.0,148.0,37.0,114.0,2446.2,11.0,40.9,3.0,3.0,0.0,0.0,292.0,757.0,1263.6,728.0,128.0,2384.0,1700.5,251.0,2694.4,1965.8,325.0,42.0,349.4,41.0,521.4,82.0
Niklas Lomb,135.0,8.0,3.0,5.0,126.7,0.0,3.1,0.0,0.0,0.0,0.0,5.0,17.0,67.1,53.0,13.0,55.8,62.8,7.0,120.0,91.1,12.0,1.0,9.1,1.0,25.3,68.0
Nícolas Andrade,180.0,7.0,5.0,2.0,50.0,0.0,4.1,0.0,0.0,0.0,0.0,6.0,13.0,80.6,31.0,5.0,52.5,64.5,9.0,116.7,99.8,16.0,0.0,0.0,0.0,29.3,69.0
Oliver Baumann,2790.0,126.0,51.0,81.0,1858.9,6.0,48.2,9.0,6.0,2.0,1.0,190.0,459.0,1349.0,1148.0,174.0,1054.3,1032.3,204.0,1206.8,1070.6,272.0,11.0,117.1,36.0,462.2,82.0
Pau López,1817.0,81.0,29.0,58.0,1232.6,4.0,27.0,3.0,3.0,0.0,0.0,82.0,200.0,943.0,562.0,106.0,570.1,651.2,101.0,581.4,634.4,115.0,8.0,221.9,16.0,350.5,83.0
Paul Bernardoni,3420.0,134.0,58.0,82.0,2312.1,9.0,50.1,8.0,7.0,1.0,0.0,177.0,512.0,1358.1,720.0,210.0,1647.3,1475.1,269.0,2607.8,1943.9,318.0,24.0,285.8,11.0,484.4,78.0
Paul Nardi,2070.0,108.0,44.0,69.0,1334.8,3.0,31.7,6.0,4.0,1.0,1.0,116.0,355.0,768.5,442.0,108.0,1110.6,924.2,197.0,1630.4,1265.5,180.0,9.0,132.9,14.0,348.2,73.0
Paulo Gazzaniga,720.0,21.0,9.0,14.0,516.6,2.0,7.5,1.0,1.0,0.0,0.0,61.0,161.0,311.9,179.0,24.0,487.3,403.4,64.0,616.6,508.2,59.0,5.0,78.3,1.0,91.5,77.0
Pavao Pervan,180.0,14.0,4.0,9.0,142.8,0.0,4.7,0.0,0.0,0.0,0.0,15.0,32.0,95.9,53.0,6.0,83.2,74.30000000000001,18.0,122.3,99.4,20.0,2.0,22.0,0.0,23.8,74.0
Pepe Reina,2610.0,106.0,41.0,74.0,1764.6,9.0,36.0,8.0,8.0,0.0,0.0,196.0,383.0,1578.3,979.0,122.0,947.5,972.0,141.0,771.4,817.5,218.0,11.0,151.5,12.0,447.8,79.0
Philipp Pentke,270.0,13.0,3.0,10.0,213.3,0.0,4.6,0.0,0.0,0.0,0.0,12.0,25.0,137.1,90.0,19.0,73.0,88.3,20.0,37.5,63.900000000000006,10.0,0.0,0.0,1.0,46.5,73.0
Pierluigi Gollini,2156.0,61.0,26.0,38.0,1265.4,9.0,24.7,6.0,4.0,2.0,0.0,117.0,270.0,1110.4,550.0,82.0,850.7,881.0,118.0,1453.5,1197.6,135.0,7.0,92.6,23.0,389.8,79.0
Pietro Terracciano,272.0,10.0,4.0,7.0,160.0,2.0,3.2,1.0,0.0,1.0,0.0,27.0,66.0,164.0,55.0,10.0,270.3,197.8,32.0,366.6,246.5,37.0,0.0,0.0,0.0,53.8,71.0
Predrag Rajković,3285.0,157.0,49.0,113.0,2531.6,10.0,48.6,7.0,4.0,2.0,1.0,244.0,723.0,1343.6,1111.0,157.0,1713.4,1509.9,343.0,2337.2,1836.7,354.0,21.0,244.1,22.0,506.6,79.0
Péter Gulácsi,2970.0,77.0,30.0,48.0,2078.4,15.0,24.6,3.0,3.0,0.0,0.0,137.0,275.0,1685.7,1003.0,171.0,775.1999999999999,993.9,166.0,632.1,880.0,186.0,12.0,158.5,53.0,619.2,85.0
Radosław Majecki,90.0,2.0,1.0,1.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,4.0,15.0,26.7,25.0,2.0,36.0,32.5,12.0,50.0,39.9,7.0,0.0,0.0,1.0,16.0,68.0
Rafael,207.0,19.0,5.0,14.0,220.0,1.0,3.9,0.0,0.0,0.0,0.0,17.0,42.0,120.3,89.0,9.0,133.0,106.7,17.0,53.4,84.4,31.0,1.0,8.3,0.0,25.5,73.0
Rafał Gikiewicz,3060.0,172.0,55.0,124.0,2494.5,7.0,52.0,10.0,6.0,2.0,2.0,256.0,653.0,1341.1,1101.0,215.0,1530.4,1304.8,298.0,1900.8,1540.5,401.0,26.0,261.7,26.0,499.4,77.0
Ralf Fährmann,1876.0,139.0,50.0,94.0,1448.9,3.0,40.5,4.0,3.0,1.0,0.0,126.0,397.0,732.8,642.0,116.0,956.2,830.8,183.0,1369.9,1010.4,225.0,13.0,115.3,18.0,320.9,77.0
Robert Sánchez,2430.0,87.0,27.0,63.0,1865.5,10.0,30.8,3.0,2.0,0.0,1.0,182.0,472.0,1053.5,918.0,107.0,1130.8,1051.6,177.0,1437.9,1211.6,210.0,11.0,115.5,14.0,398.2,64.0
Roberto,1170.0,43.0,17.0,28.0,764.7,1.0,15.5,3.0,2.0,0.0,1.0,90.0,296.0,398.7,298.0,38.0,888.5,683.7,113.0,1066.3,841.8,129.0,10.0,182.4,7.0,155.7,75.0
Robin Olsen,630.0,27.0,9.0,18.0,509.0,2.0,9.4,1.0,1.0,0.0,0.0,50.0,104.0,337.6,148.0,21.0,334.3,282.3,51.0,372.8,301.8,51.0,4.0,41.7,1.0,62.6,78.0
Robin Zentner,2790.0,135.0,46.0,93.0,2042.3,5.0,40.8,6.0,5.0,0.0,1.0,166.0,501.0,1090.4,832.0,196.0,1360.4,1236.0,249.0,1666.9,1428.5,294.0,28.0,385.3,19.0,448.8,75.0
Romain Salin,1350.0,54.0,14.0,40.0,1069.5,5.0,15.2,0.0,0.0,0.0,0.0,99.0,227.0,674.5,421.0,76.0,541.0,506.9,123.0,906.9,700.0,113.0,9.0,97.5,29.0,267.0,72.0
Roman Bürki,1665.0,89.0,30.0,63.0,1235.3,4.0,25.3,4.0,4.0,0.0,0.0,92.0,201.0,853.2,520.0,106.0,593.9,621.8,109.0,639.9,665.1999999999999,121.0,9.0,141.5,6.0,245.6,84.0
Ron-Robert Zieler,51.0,2.0,1.0,2.0,100.0,0.0,0.7,1.0,1.0,0.0,0.0,6.0,11.0,54.5,17.0,4.0,35.3,35.0,6.0,83.3,49.7,10.0,0.0,0.0,0.0,11.8,74.0
Rubén,187.0,9.0,5.0,3.0,57.1,0.0,4.9,0.0,0.0,0.0,0.0,33.0,54.0,213.9,46.0,2.0,266.3,167.8,15.0,200.0,131.3,19.0,1.0,7.1,3.0,55.3,74.0
Rubén Blanco,1637.0,60.0,27.0,34.0,852.9,4.0,22.8,1.0,1.0,0.0,0.0,111.0,298.0,697.3,520.0,81.0,755.0,684.4,144.0,1155.1,875.0,149.0,9.0,129.4,12.0,287.9,76.0
Rubén Yáñez,900.0,30.0,12.0,19.0,769.2,4.0,11.7,1.0,1.0,0.0,0.0,89.0,203.0,425.7,208.0,29.0,693.5,484.0,68.0,809.1,577.5,72.0,5.0,56.5,7.0,141.0,66.0
Rui Patrício,3329.0,140.0,51.0,96.0,2661.1,10.0,44.6,8.0,7.0,1.0,0.0,205.0,454.0,1821.2,536.0,129.0,1933.9,1484.8,265.0,2262.1,1607.4,374.0,22.0,184.8,6.0,402.7,84.0
Rui Silva,2880.0,129.0,55.0,78.0,2125.7,8.0,51.2,10.0,5.0,4.0,1.0,282.0,753.0,1196.4,809.0,68.0,2133.1,1583.4,266.0,2567.5,1866.0,311.0,13.0,104.1,29.0,512.0,79.0
Rune Jarstein,720.0,31.0,13.0,20.0,488.4,1.0,10.0,2.0,1.0,1.0,0.0,60.0,153.0,333.0,210.0,25.0,422.3,341.4,74.0,477.3,374.7,75.0,7.0,73.19999999999999,4.0,95.0,77.0
Rúnar Alex Rúnarsson,16.0,2.0,0.0,2.0,100.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,2.0,30.0,31.8,1.0,0.0,30.0,4.0,0.0,0.0,0.0,17.5,70.0
Salvatore Sirigu,2880.0,129.0,62.0,75.0,1788.0,7.0,46.6,9.0,8.0,0.0,1.0,198.0,478.0,1347.6,743.0,106.0,1430.9,1175.7,269.0,1577.2,1218.9,301.0,18.0,208.1,16.0,411.9,84.0
Sam Johnstone,3330.0,228.0,74.0,161.0,2662.6,6.0,75.3,12.0,7.0,2.0,3.0,336.0,961.0,1322.5,987.0,169.0,2647.3,1905.6,295.0,3087.1,2183.3,348.0,25.0,267.5,26.0,548.1,75.0
Samir Handanović,3240.0,105.0,33.0,76.0,2307.4,14.0,29.4,6.0,4.0,2.0,0.0,126.0,261.0,1928.0,913.0,149.0,801.9,1052.0,177.0,1002.6,1080.1,281.0,16.0,227.0,14.0,403.5,88.0
Samir Ujkani,90.0,3.0,1.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,22.0,6.0,31.8,33.9,6.0,0.0,24.5,16.0,1.0,6.3,0.0,13.4,69.0
Scott Carson,90.0,3.0,3.0,1.0,33.3,0.0,2.4,2.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,6.0,0.0,21.4,2.0,50.0,47.0,7.0,0.0,0.0,0.0,14.6,70.0
Sergio Asenjo,3240.0,114.0,41.0,83.0,2369.3,10.0,34.8,9.0,7.0,1.0,1.0,210.0,462.0,1756.5,1022.0,189.0,1143.1,1215.1,285.0,1716.8,1504.6,427.0,42.0,310.8,21.0,496.0,82.0
Sergio Herrera,2958.0,122.0,40.0,88.0,2148.6,10.0,43.3,8.0,4.0,3.0,1.0,431.0,927.0,1541.7,887.0,83.0,2554.7,1797.9,257.0,3082.0,2107.6,375.0,34.0,296.2,51.0,540.8,76.0
Sergio Rico,810.0,36.0,9.0,28.0,766.7,5.0,10.0,0.0,0.0,0.0,0.0,10.0,27.0,281.7,162.0,41.0,122.6,246.3,54.0,101.0,237.1,58.0,3.0,45.3,5.0,109.7,77.0
Simone Colombi,180.0,9.0,7.0,3.0,50.0,0.0,4.8,1.0,1.0,0.0,0.0,16.0,30.0,101.5,39.0,6.0,103.3,78.2,11.0,143.3,98.8,13.0,1.0,16.7,1.0,26.3,70.0
Simone Scuffet,90.0,3.0,2.0,2.0,66.7,0.0,1.6,1.0,1.0,0.0,0.0,13.0,21.0,61.9,20.0,4.0,70.0,46.3,8.0,87.5,54.4,10.0,0.0,0.0,0.0,10.0,72.0
Stefan Bajic,90.0,4.0,4.0,0.0,0.0,0.0,1.8,1.0,0.0,0.0,1.0,3.0,17.0,17.6,29.0,9.0,37.9,34.8,7.0,85.7,50.9,12.0,2.0,16.7,0.0,13.6,62.0
Stefan Ortega,3060.0,166.0,52.0,119.0,2355.8,11.0,52.2,6.0,5.0,1.0,0.0,488.0,1038.0,1593.9,1720.0,116.0,1802.6,1509.5,246.0,2033.0,1664.9,338.0,28.0,260.5,34.0,516.9,75.0
Steve Mandanda,3330.0,126.0,45.0,85.0,2120.3,8.0,42.8,3.0,3.0,0.0,0.0,201.0,561.0,1561.0,1034.0,187.0,1435.2,1324.2,290.0,1856.9,1507.7,367.0,26.0,250.7,22.0,519.6,83.0
Sébastien Cibois,270.0,10.0,4.0,7.0,141.7,1.0,5.0,1.0,1.0,0.0,0.0,14.0,37.0,116.1,68.0,13.0,124.6,115.0,22.0,133.7,125.2,28.0,3.0,29.2,2.0,32.7,65.0
Thibaut Courtois,3420.0,111.0,28.0,90.0,2784.8,17.0,29.9,9.0,7.0,2.0,0.0,136.0,351.0,1630.2,1074.0,234.0,897.1,1214.6,233.0,1472.2,1478.9,286.0,27.0,414.0,24.0,566.8,89.0
Thomas Strakosha,810.0,37.0,14.0,24.0,657.1,3.0,13.2,2.0,2.0,0.0,0.0,55.0,107.0,478.1,286.0,49.0,299.9,283.8,58.0,118.3,230.7,77.0,7.0,82.3,1.0,104.6,83.0
Timo Horn,3009.0,149.0,59.0,97.0,2274.1,5.0,52.4,8.0,7.0,1.0,0.0,272.0,601.0,1610.6,1111.0,117.0,1495.6,1314.3,215.0,1370.5,1300.3,269.0,9.0,104.7,23.0,462.6,77.0
Tobias Sippel,344.0,19.0,6.0,12.0,271.4,1.0,7.1,0.0,0.0,0.0,0.0,37.0,86.0,181.7,101.0,12.0,204.4,170.1,46.0,262.3,208.0,56.0,3.0,29.4,4.0,67.6,73.0
Tomáš Vaclík,450.0,14.0,5.0,9.0,304.7,2.0,3.5,0.0,0.0,0.0,0.0,20.0,41.0,266.8,120.0,24.0,145.1,153.7,26.0,149.2,147.4,40.0,2.0,22.5,3.0,72.8,82.0
Unai Simón,3330.0,104.0,40.0,70.0,2340.2,9.0,35.4,6.0,5.0,1.0,0.0,241.0,538.0,1713.0,798.0,201.0,1470.9,1398.7,265.0,2700.3,2071.0,367.0,22.0,219.2,23.0,502.4,80.0
Vanja Milinković-Savić,450.0,19.0,6.0,14.0,308.3,1.0,4.7,1.0,1.0,0.0,0.0,23.0,77.0,145.7,147.0,18.0,201.8,202.3,32.0,292.9,247.3,34.0,2.0,70.0,5.0,71.3,68.0
Vicente Guaita,3330.0,168.0,64.0,105.0,2351.2,8.0,62.0,4.0,3.0,1.0,0.0,253.0,721.0,1333.0,766.0,147.0,2206.8,1639.2,314.0,3164.6,2239.2,367.0,26.0,238.3,15.0,479.2,80.0
Vito Mannone,810.0,30.0,14.0,18.0,556.7,2.0,11.9,2.0,2.0,0.0,0.0,55.0,138.0,391.3,226.0,26.0,375.0,330.3,61.0,578.4,442.0,63.0,3.0,39.6,6.0,163.3,70.0
Walter Benítez,3420.0,167.0,53.0,119.0,2464.4,9.0,48.4,7.0,7.0,0.0,0.0,129.0,346.0,1507.0,924.0,170.0,943.4,1113.2,302.0,1322.4,1305.4,355.0,25.0,214.1,17.0,542.8,81.0
Will Norris,180.0,6.0,4.0,2.0,66.7,0.0,1.1,0.0,0.0,0.0,0.0,21.0,50.0,86.6,37.0,1.0,182.6,125.6,19.0,178.9,135.39999999999998,18.0,1.0,9.1,1.0,40.2,65.0
Willy Caballero,90.0,3.0,3.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,3.0,33.3,20.0,2.0,15.0,24.6,6.0,0.0,19.7,8.0,0.0,0.0,2.0,22.0,75.0
Wojciech Szczęsny,2677.0,95.0,32.0,67.0,1994.3,5.0,27.7,6.0,4.0,2.0,0.0,118.0,203.0,1783.5,835.0,130.0,601.6,866.6,180.0,454.6,725.8,240.0,17.0,203.2,24.0,456.7,87.0
Wuilker Faríñez,107.0,6.0,3.0,3.0,66.7,0.0,4.2,1.0,1.0,0.0,0.0,2.0,11.0,70.0,18.0,3.0,228.6,197.6,9.0,214.3,154.1,9.0,0.0,0.0,1.0,39.3,75.0
Yann Sommer,2712.0,124.0,50.0,79.0,1880.1,6.0,43.4,6.0,6.0,0.0,0.0,180.0,390.0,1522.0,1028.0,125.0,943.8,975.1,211.0,800.6,874.6,240.0,14.0,215.8,20.0,421.1,86.0
Yassine Bounou,2970.0,100.0,28.0,78.0,2451.4,15.0,26.0,6.0,4.0,2.0,0.0,199.0,419.0,1580.0,897.0,141.0,1104.1,1149.1,199.0,1852.3,1407.5,284.0,32.0,463.0,23.0,529.4,76.0
Yehvann Diouf,135.0,5.0,1.0,5.0,200.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,16.0,67.3,40.0,13.0,82.80000000000001,72.9,12.0,71.4,71.4,11.0,0.0,0.0,1.0,22.1,63.0
Yoel,300.0,5.0,3.0,2.0,66.7,0.0,2.2,0.0,0.0,0.0,0.0,39.0,74.0,209.6,97.0,26.0,234.2,177.2,17.0,400.0,284.4,11.0,1.0,20.0,8.0,69.0,75.0
Yohann Pelé,90.0,5.0,2.0,2.0,60.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,0.0,20.5,3.0,0.0,14.7,8.0,1.0,12.5,1.0,13.0,72.0
Zack Steffen,90.0,2.0,1.0,1.0,50.0,0.0,0.6,0.0,0.0,0.0,0.0,2.0,6.0,33.3,20.0,4.0,25.0,31.1,8.0,12.5,20.5,10.0,0.0,0.0,0.0,7.0,76.0
Álex Remiro,3420.0,100.0,38.0,66.0,2233.8,14.0,32.3,5.0,3.0,1.0,1.0,232.0,561.0,1645.2,988.0,128.0,1607.4,1439.4,215.0,2402.7,1938.3,291.0,17.0,292.4,26.0,581.7,80.0
Álvaro Fernández,1980.0,92.0,32.0,62.0,1382.8,5.0,29.9,2.0,2.0,0.0,0.0,136.0,329.0,978.9,647.0,108.0,851.1,813.3,171.0,933.7,882.3,188.0,11.0,136.4,15.0,356.4,75.0
Ángel,90.0,7.0,2.0,6.0,85.7,0.0,2.7,2.0,1.0,1.0,0.0,10.0,24.0,41.7,13.0,0.0,76.9,50.1,17.0,82.4,55.0,10.0,0.0,0.0,1.0,14.3,79.0
Édgar Badía,2700.0,135.0,46.0,93.0,2056.5,5.0,45.7,9.0,5.0,3.0,1.0,262.0,518.0,1497.3,864.0,143.0,1212.8,1089.2,283.0,1885.0,1306.8,302.0,23.0,255.5,20.0,423.3,73.0
Łukasz Fabiański,3150.0,134.0,44.0,96.0,2392.7,10.0,44.9,6.0,3.0,2.0,1.0,281.0,662.0,1557.2,731.0,141.0,2119.9,1611.7,271.0,2731.2,1951.1,357.0,27.0,245.0,11.0,428.3,81.0
Łukasz Skorupski,2520.0,143.0,46.0,102.0,1959.2,4.0,45.0,7.0,5.0,2.0,0.0,120.0,316.0,1056.5,738.0,163.0,933.7,929.8,228.0,708.0,677.8,241.0,25.0,323.3,13.0,368.0,76.0
